title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Tiên Tửu Quán - Lẩu - Các Món Nhậu,osm-node-5948536485,21.0306728,105.8193537,Nhà hàng,"287, Phố Kim Mã",0.0,0.25,0.0,0.0,0.0
Bánh Cuốn Bà Hạnh,osm-node-5983124785,21.0290963,105.8487482,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Ẩm Thực Chay Tịnh Nghiệp,osm-node-6036359888,21.0343921,105.8301652,Nhà hàng,"56A, Đội Cấn, Phường Ba Đình, Hà Nội",0.0,0.0,0.5,0.0,0.0
Phở Thật,osm-node-6049182299,21.0380367,105.8522189,Nhà hàng,"48, Đường Trần Nhật Duật, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Veggie castle,osm-node-6127555185,21.0436976,105.8446857,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Thảo Linh,osm-node-6169695785,20.9640244,105.8244541,Nhà hàng,"Kiot 15, Rainbow Linh Đàm",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Chay Tâm An,osm-node-6174044986,21.0119248,105.8376422,Nhà hàng,Ngõ 180 Kim Hoa,0.5,0.0,1.0,0.0,0.0
Bánh xèo - Nem cuốn - Quẩy,osm-node-6228818585,21.0340643,105.8496955,Nhà hàng,"22, Phố Hàng Bồ, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún Mọc Hằng Hiếu,osm-node-6269089078,21.0166063,105.8123208,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Hỏa Lò,osm-node-6324767985,21.0771591,105.8227977,Nhà hàng,Ngõ 374 Âu Cơ,0.0,0.0,0.0,0.0,0.0
Nhà Hàng King BBQ,osm-node-6324812247,21.024043,105.8539531,Nhà hàng,"20, Hai Bà Trưng, Hoàn Kiếm, Hà Nội",0.0,0.0,0.5,0.0,0.0
Nhà Hàng King BBQ,osm-node-6346505980,21.0362704,105.7613852,Nhà hàng,"Shophouse B2-06, KĐT Vinhomes Gardenia, Hàm Nghi, Nam Từ Liêm, Hà Nội",0.0,0.0,0.5,0.0,0.0
Pho 10,osm-node-6402581586,21.0305956,105.8487232,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Chay Tuệ Giác,osm-node-6413826385,21.016337,105.8250572,Nhà hàng,"15, Phố Trần Quang Diệu",0.0,0.0,0.5,0.0,0.0
Bún Riêu Cua Thu,osm-node-6425005085,21.0292058,105.8483343,Nhà hàng,"5A, Thọ Xương, Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Đụt Quán - Ốc,osm-node-6432124485,21.0129421,105.8025668,Nhà hàng,"Số 3 Ngõ 41, Trần Duy Hưng",0.0,0.0,0.0,0.0,0.0
Thắng Hằng (bún chả),osm-node-6448940987,21.0525413,105.8374622,Nhà hàng,Yên Phụ,0.0,0.0,0.0,0.0,0.0
Cơm Nấm Việt Hà Thành,osm-node-6483119385,21.0189669,105.8284746,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng CIAO,osm-node-6488009486,21.0297106,105.8276931,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Home Hanoi,osm-node-6525781986,21.0453801,105.8424599,Nhà hàng,"34, Phố Châu Long, Phường Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhac cafe,osm-node-6533893985,21.0324152,105.855273,Nhà hàng,"7, Phố Hàng Thùng",0.0,0.0,0.0,0.0,0.0
Ốc Bông Quán,osm-node-6611456185,21.0239287,105.8566213,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Phở Đường Tăng,osm-node-6616671217,20.9926672,105.8144635,Nhà hàng,"35, Phố Khương Hạ",0.0,0.0,0.0,0.0,0.0
